Datetime (he),PV Gen (kW/rated kW),System Load (kW),Site Load (kW),Deferral Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW)_1,NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),Power Max (kW),Power Min (kW),Energy Max (kWh),Energy Min (kWh),Critical Load (kW)
1/1/19 1:00,0,4019.608554,401.9608554,4019.608554,0.0025,0.032141,0.00127867,6.675e-4,7475,1.1e-4,0.00511468,0,0,1900,-1900,9000,0,80.39217108
1/1/19 2:00,0,3738.652086,373.8652086,3738.652086,0.0025,0.03209331,0.0010525,6.7e-4,7475,1.1e-4,0.00421,0,0,1900,-1900,9000,0,74.77304172
1/1/19 3:00,0,4054.570141,405.4570141,4054.570141,0.0025,0.03175182,0.0022507775,0.0015275,7475,1.1e-4,0.00428759,0,0,1900,-1900,9000,0,81.09140282
1/1/19 4:00,0,3703.137769,370.3137769,3703.137769,0.0025,0.03165485,0.002195,0.00176,7475,1.1e-4,0.00421,0,0,1900,-1900,9000,0,74.06275538
1/1/19 5:00,0,4141.420555,414.1420555,4141.420555,0.0025,0.03078625,0.0021975,0.00251,7475,1.1e-4,0.00421,0,0,1900,-1900,9000,0,82.8284111
1/1/19 6:00,0,4050.901661,405.0901661,4050.901661,0.0025,0.03264,0.0020625,0.001335,7475,1.1e-4,0.0035,0,0,1900,-1900,9000,0,81.01803322
1/1/19 7:00,0,4850.896901,485.0896901,4850.896901,0.0025,0.03463289,0.0014975,0.001335,7475,1.1e-4,0.00124,0,0,1900,-1900,9000,0,97.01793802
1/1/19 8:00,0.078231,4429.817908,442.9817908,4429.817908,0.0025,0.03495474,0.0020425,0.00382262,7475,1.1e-4,0.001,0,10,1900,-1900,9000,0,88.59635816
1/1/19 9:00,0.415964,4572.633046,457.2633046,4572.633046,0.0025,0.02970845,0.0014975,0.00125,7475,1.1e-4,0.001,0,10,1900,-1900,9000,0,91.45266092
1/1/19 10:00,0.69657,3900.506753,390.0506753,3900.506753,0.0025,0.01709308,0.00126,0.00125,7475,1.1e-4,2.5e-4,0,10,1900,-1900,9000,0,78.01013506
1/1/19 11:00,0.880665,3787.672133,378.7672133,3787.672133,0.0025,0.00923,0.00126,0.00125,7475,1.1e-4,2.5e-4,0,10,1900,-1900,9000,0,75.75344266
1/1/19 12:00,0.979825,3506.213565,350.6213565,3506.213565,0.0025,0.00478,0.001855,0.00125,7475,1.1e-4,2.5e-4,0,10,1900,-1900,9000,0,70.1242713
1/1/19 13:00,0.994815,3934.668053,393.4668053,3934.668053,0.0025,0.0030651,0.001563805,0.00380774,7475,1.1e-4,0.0015,0,10,1900,-1900,9000,0,78.69336106
1/1/19 14:00,0.76356,3647.279507,364.7279507,3647.279507,0.0025,0.00274629,0.00199,0.001687195,7475,1.1e-4,0.00297,0,10,1900,-1900,9000,0,72.94559014
1/1/19 15:00,0.76163,4060.574644,406.0574644,4060.574644,0.0025,0.00815473,0.0017627225,0.00250068,7475,1.1e-4,0.00225,0,10,1900,-1900,9000,0,81.21149288
1/1/19 16:00,0.52506,3672.233699,367.2233699,3672.233699,0.0025,0.02741489,0.0017808775000000001,0.00543746,7475,1.1e-4,2.5e-4,0,10,1900,-1900,9000,0,73.44467398
1/1/19 17:00,0.210031,4710.773492,471.0773492,4710.773492,0.0025,0.03604143,0.0011175,0.0071633625,7475,1.1e-4,2.5e-4,0,10,1900,-1900,9000,0,94.21546984
1/1/19 18:00,0,4888.333553,488.8333553,4888.333553,0.0025,0.05059049,0.0012525,0.0051028575,7475,1.1e-4,2.5e-4,0,0,1900,-1900,9000,0,97.76667106
1/1/19 19:00,0,5180.458057,518.0458057,5180.458057,0.0025,0.05107051,7.5e-4,0.0054072475,7475,1.1e-4,2.5e-4,0,0,1900,-1900,9000,0,103.6091611
1/1/19 20:00,0,4584.224275,458.4224275,4584.224275,0.0025,0.04538316,0.00108,0.0063823425,7475,1.1e-4,2.5e-4,0,0,1900,-1900,9000,0,91.6844855
1/1/19 21:00,0,4890.245882,489.0245882,4890.245882,0.0025,0.04096986,0.0012525,0.0066429125,7475,1.1e-4,2.5e-4,0,0,1900,-1900,9000,0,97.80491764
1/1/19 22:00,0,4297.806113,429.7806113,4297.806113,0.0025,0.04356135,0.0014975,0.00556957,7475,1.1e-4,2.5e-4,0,0,1900,-1900,9000,0,85.95612226
1/1/19 23:00,0,4356.664512,435.6664512,4356.664512,0.0025,0.03755981,0.001835,0.00533927,7475,1.1e-4,2.5e-4,0,0,1900,-1900,9000,0,87.13329024
1/2/19 0:00,0,3781.996185,378.1996185,3781.996185,0.0025,0.03447645,0.0025325,0.003795615,7475,1.1e-4,0.00304,0,0,1900,-1900,9000,0,75.6399237
1/2/19 1:00,0,4460.599365,446.0599365,4460.599365,0.0025,0.03114284,0.00225657,0.001576805,7475,1.1e-4,0.00304,0,0,1900,-1900,9000,0,89.2119873
1/2/19 2:00,0,4140.337189,414.0337189,4140.337189,0.0025,0.03046592,0.0035025,0.001447345,7475,1.1e-4,0.008,0,0,1900,-1900,9000,0,82.80674378
1/2/19 3:00,0,4441.120561,444.1120561,4441.120561,0.0025,0.02894514,0.003424785,7.025e-4,7475,1.1e-4,0.00304,0,0,1900,-1900,9000,0,88.82241122
1/2/19 4:00,0,4124.243146,412.4243146,4124.243146,0.0025,0.02825863,0.002156355,0.0013079675,7475,1.1e-4,0.00304,0,0,1900,-1900,9000,0,82.48486292
1/2/19 5:00,0,4542.13495,454.213495,4542.13495,0.0025,0.02950415,0.0022625,0.0015275,7475,1.1e-4,0.00304,0,0,1900,-1900,9000,0,90.842699
1/2/19 6:00,0,4725.139159,472.5139159,4725.139159,0.0025,0.03290695,0.0020117575,0.001335,7475,1.1e-4,0.00304,0,0,1900,-1900,9000,0,94.50278318
1/2/19 7:00,0,6870.120292,687.0120292,6870.120292,0.0025,0.03438349,0.00176,0.00125,7475,1.1e-4,0.001,0,0,1900,-1900,9000,0,137.4024058
1/2/19 8:00,0.077027,5235.845867,523.5845867,5235.845867,0.0025,0.03551462,0.0014975,0.00125,7475,1.1e-4,2.5e-4,0,10,1900,-1900,9000,0,104.7169173
1/2/19 9:00,0.4210115,10537.250539999999,1053.725054,10537.250539999999,0.0025,0.03606786,0.00126,0.00125,7475,1.1e-4,2.5e-4,0,10,1900,-1900,9000,0,210.7450108
