Datetime (he),PV Gen (kW/rated kW),System Load (kW),Site Load (kW),Deferral Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW)_1,NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),Power Max (kW),Power Min (kW),Energy Max (kWh),Energy Min (kWh),Critical Load (kW)
1/1/19 1:00,0,4019.608554,401.9608554,4019.608554,NA,0.02012,0.00125,0.001315,7475,0.00108,0.00604,0,0,1900,-1900,9000,0,80.39217108
1/1/19 2:00,0,3738.652086,373.8652086,3738.652086,NA,0.01962,0.0010925,9.95e-4,7475,0.00105,0.0059,0,0,1900,-1900,9000,0,74.77304172
1/1/19 3:00,0,4054.570141,405.4570141,4054.570141,NA,0.01922,0.00111,8.75e-4,7475,0.00093000000000000005,0.00501,0,0,1900,-1900,9000,0,81.09140282
1/1/19 4:00,0,3703.137769,370.3137769,3703.137769,NA,0.01881,0.00125,8.675e-4,7475,0.00093000000000000005,0.00563,0,0,1900,-1900,9000,0,74.06275538
1/1/19 5:00,0,4141.420555,414.1420555,4141.420555,NA,0.02071,0.00175,0.002,7475,9.4e-4,0.00702,0,0,1900,-1900,9000,0,82.8284111
1/1/19 6:00,0,4050.901661,405.0901661,4050.901661,NA,0.0221,0.00375,0.002,7475,9.7e-4,0.00761,0,0,1900,-1900,9000,0,81.01803322
1/1/19 7:00,0,4850.896901,485.0896901,4850.896901,NA,0.02323,0.0066375,0.0010025,7475,0.00553,0.01101,0,0,1900,-1900,9000,0,97.01793802
1/1/19 8:00,0.078231,4429.817908,442.9817908,4429.817908,NA,0.02341,0.00201,6.525e-4,7475,0.00604,0.00824,0,10,1900,-1900,9000,0,88.59635816
1/1/19 9:00,0.415964,4572.633046,457.2633046,4572.633046,NA,0.02417,0.00194,8.65e-4,7475,0.005,0.00798,0,10,1900,-1900,9000,0,91.45266092
1/1/19 10:00,0.69657,3900.506753,390.0506753,3900.506753,NA,0.02411,0.00158,8.65e-4,7475,0.00536,0.00748,0,10,1900,-1900,9000,0,78.01013506
1/1/19 11:00,0.880665,3787.672133,378.7672133,3787.672133,NA,0.02432,0.001,0.001315,7475,9.9e-4,0.00728,0,10,1900,-1900,9000,0,75.75344266
1/1/19 12:00,0.979825,3506.213565,350.6213565,3506.213565,NA,0.02514,0.001,8.75e-4,7475,9.9e-4,0.00544,0,10,1900,-1900,9000,0,70.1242713
1/1/19 13:00,0.994815,3934.668053,393.4668053,3934.668053,NA,0.02412,0.001,8.75e-4,7475,9.9e-4,0.00445,0,10,1900,-1900,9000,0,78.69336106
1/1/19 14:00,0.76356,3647.279507,364.7279507,3647.279507,NA,0.02284,0.001,7.525e-4,7475,9.8e-4,0.0042,0,10,1900,-1900,9000,0,72.94559014
1/1/19 15:00,0.76163,4060.574644,406.0574644,4060.574644,NA,0.02277,9.5e-4,6.525e-4,7475,9.9e-4,0.004,0,10,1900,-1900,9000,0,81.21149288
1/1/19 16:00,0.52506,3672.233699,367.2233699,3672.233699,NA,0.02256,9.5e-4,2.5e-6,7475,9.9e-4,0.004,0,10,1900,-1900,9000,0,73.44467398
1/1/19 17:00,0.210031,4710.773492,471.0773492,4710.773492,NA,0.02345,0.00125,2.5e-6,7475,9.5e-4,0.00545,0,10,1900,-1900,9000,0,94.21546984
1/1/19 18:00,0,4888.333553,488.8333553,4888.333553,NA,0.0306,0.00375,5.525e-4,7475,9.6e-4,0.015,0,0,1900,-1900,9000,0,97.76667106
1/1/19 19:00,0,5180.458057,518.0458057,5180.458057,NA,0.03411,0.00339,8.75e-4,7475,9.7e-4,0.01376,0,0,1900,-1900,9000,0,103.6091611
1/1/19 20:00,0,4584.224275,458.4224275,4584.224275,NA,0.02945,0.0016375,8.75e-4,7475,9.7e-4,0.00894,0,0,1900,-1900,9000,0,91.6844855
1/1/19 21:00,0,4890.245882,489.0245882,4890.245882,NA,0.02771,0.001365,8.75e-4,7475,0.00134,0.00721,0,0,1900,-1900,9000,0,97.80491764
1/1/19 22:00,0,4297.806113,429.7806113,4297.806113,NA,0.02609,8.4e-4,9.95e-4,7475,9.7e-4,0.00454,0,0,1900,-1900,9000,0,85.95612226
1/1/19 23:00,0,4356.664512,435.6664512,4356.664512,NA,0.02436,0.001,0.0015,7475,0.00109,0.0048,0,0,1900,-1900,9000,0,87.13329024
1/2/19 0:00,0,3781.996185,378.1996185,3781.996185,NA,0.02311,0.00093000000000000005,0.0010025,7475,0.00111,0.004,0,0,1900,-1900,9000,0,75.6399237
1/2/19 1:00,0,4460.599365,446.0599365,4460.599365,NA,0.02286,2.55e-4,7.525e-4,7475,0.001,0.00187,0,0,1900,-1900,9000,0,89.2119873
1/2/19 2:00,0,4140.337189,414.0337189,4140.337189,NA,0.02236,2.5e-4,9.5e-5,7475,0.001,0.0015,0,0,1900,-1900,9000,0,82.80674378
1/2/19 3:00,0,4441.120561,444.1120561,4441.120561,NA,0.02234,2.5e-4,7e-5,7475,9.7e-4,0.0015,0,0,1900,-1900,9000,0,88.82241122
1/2/19 4:00,0,4124.243146,412.4243146,4124.243146,NA,0.02195,2.5e-4,2.5e-6,7475,9.7e-4,0.00126,0,0,1900,-1900,9000,0,82.48486292
1/2/19 5:00,0,4542.13495,454.213495,4542.13495,NA,0.02366,5.95e-4,5.275e-4,7475,9.7e-4,0.0029,0,0,1900,-1900,9000,0,90.842699
1/2/19 6:00,0,4725.139159,472.5139159,4725.139159,NA,0.02697,0.00161,0.00123,7475,9.7e-4,0.00594,0,0,1900,-1900,9000,0,94.50278318
1/2/19 7:00,0,6870.120292,687.0120292,6870.120292,NA,0.03751,0.0038775,0.001,7475,0.00833,0.01551,0,0,1900,-1900,9000,0,137.4024058
1/2/19 8:00,0.077027,5235.845867,523.5845867,5235.845867,NA,0.03723,0.0028175,4.4e-4,7475,0.00637,0.01227,0,10,1900,-1900,9000,0,104.7169173
1/2/19 9:00,0.4210115,10537.250539999999,1053.725054,10537.250539999999,NA,0.03486,0.002035,7.5e-4,7475,0.00538,0.00984,0,10,1900,-1900,9000,0,210.7450108
1/2/19 10:00,0.69586,10160.55551,1016.055551,10160.55551,NA,0.03804,0.002555,6.525e-4,7475,0.00508,0.01237,0,10,1900,-1900,9000,0,203.2111102
1/2/19 11:00,0.87098,9652.977457,965.2977457,9652.977457,NA,0.03942,0.0020825,8.75e-4,7475,9.8e-4,0.01336,0,10,1900,-1900,9000,0,193.0595491
1/2/19 12:00,0.96287,9649.857414,964.9857414,9649.857414,NA,0.03666,0.0012025,7.775e-4,7475,9.8e-4,0.01026,0,10,1900,-1900,9000,0,192.9971483
1/2/19 13:00,0.973835,9156.603572,915.6603572,9156.603572,NA,0.03392,0.0011475,7.525e-4,7475,9.8e-4,0.008,0,10,1900,-1900,9000,0,183.1320714
1/2/19 14:00,0.91635,9653.800974,965.3800974,9653.800974,NA,0.03416,0.0010625,5.725e-4,7475,9.7e-4,0.00823,0,10,1900,-1900,9000,0,193.0760195
1/2/19 15:00,0.7645,9644.672324,964.4672324,9644.672324,NA,0.03419,0.001,4.35e-4,7475,9.8e-4,0.00763,0,10,1900,-1900,9000,0,192.8934465
1/2/19 16:00,0.531875,9634.341,963.4341,9634.341,NA,0.0337,0.001,2.1e-4,7475,9.8e-4,0.00747,0,10,1900,-1900,9000,0,192.68682
1/2/19 17:00,0.218492,10380.25356,1038.025356,10380.25356,NA,0.03549,0.00125,1.525e-4,7475,9.4e-4,0.00927,0,10,1900,-1900,9000,0,207.6050712
1/2/19 18:00,0,9509.287646,950.9287646,9509.287646,NA,0.06272,0.009225,7.55e-4,7475,9.5e-4,0.03661,0,0,1900,-1900,9000,0,190.1857529
1/2/19 19:00,0,7516.196098,751.6196098,7516.196098,NA,0.06447,0.00923,8.425e-4,7475,9.6e-4,0.03829,0,0,1900,-1900,9000,0,150.323922
1/2/19 20:00,0,7271.314744,727.1314744,7271.314744,NA,0.03881,0.00126,5.275e-4,7475,9.6e-4,0.01297,0,0,1900,-1900,9000,0,145.4262949
