,Datetime (he),PV Gen (kW/rated kW),System Load (kW),Site Load (kW),Deferral Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW).1,NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),Power Max (kW),Power Min (kW),Energy Max (kWh),Energy Min (kWh),Critical Load (kW)
2017-01-01 00:00:00,1/1/17 1:00,0.0,4019.608554,401.96085539999996,4019.608554,0.01,32.141,32.141,32.141,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,80.39217108
2017-01-01 01:00:00,1/1/17 2:00,0.0,3738.652086,373.8652086,3738.652086,0.01,32.093309999999995,32.093309999999995,32.093309999999995,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,74.77304172
2017-01-01 02:00:00,1/1/17 3:00,0.0,4054.5701409999997,405.45701410000004,4054.5701409999997,0.01,31.751820000000002,31.751820000000002,31.751820000000002,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,81.09140282
2017-01-01 03:00:00,1/1/17 4:00,0.0,3703.137769,370.3137769,3703.137769,0.01,31.65485,31.65485,31.65485,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,74.06275538
2017-01-01 04:00:00,1/1/17 5:00,0.0,4141.420555,414.1420555,4141.420555,0.01,30.78625,30.78625,30.78625,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,82.8284111
2017-01-01 05:00:00,1/1/17 6:00,0.0,4050.901661,405.09016610000003,4050.901661,0.01,32.64,32.64,32.64,7475,0,0,0,0,2000.0,-500.0,10000.0,2000.0,81.01803322
2017-01-01 06:00:00,1/1/17 7:00,0.0,4850.896901,485.08969010000004,4850.896901,0.01,34.63289,34.63289,34.63289,7475,0,0,0,0,2000.0,-2000.0,10000.0,500.0,97.01793802
2017-01-01 07:00:00,1/1/17 8:00,0.078231,4429.817908,442.9817908,4429.817908,0.01,34.95474,34.95474,34.95474,7475,0,0,0,10,2000.0,-2000.0,10000.0,500.0,88.59635816
2017-01-01 08:00:00,1/1/17 9:00,0.41596400000000006,4572.633046,457.2633046,4572.633046,0.01,29.70845,29.70845,29.70845,7475,0,0,0,10,2000.0,-2000.0,10000.0,500.0,91.45266092
2017-01-01 09:00:00,1/1/17 10:00,0.69657,3900.506753,390.0506753,3900.506753,0.01,17.09308,17.09308,17.09308,7475,0,0,0,10,824.5294117647059,-1999.575,9000.85,500.425,78.01013506
2017-01-01 10:00:00,1/1/17 11:00,0.8806649999999999,3787.672133,378.7672133,3787.672133,0.01,9.23,9.23,9.23,7475,0,0,0,10,1.0,-1499.5749999999998,8300.85,1000.4250000000001,75.75344266
2017-01-01 11:00:00,1/1/17 12:00,0.979825,3506.213565,350.6213565,3506.213565,0.01,4.78,4.78,4.78,7475,0,0,0,10,1.0,-649.5749999999996,8300.85,1850.4250000000004,70.1242713
2017-01-01 12:00:00,1/1/17 13:00,0.994815,3934.6680530000003,393.46680530000003,3934.6680530000003,0.01,3.0651,3.0651,3.0651,7475,0,0,0,10,1.0,1.0,8300.85,2501.0,78.69336106
2017-01-01 13:00:00,1/1/17 14:00,0.76356,3647.279507,364.72795069999995,3647.279507,0.01,2.74629,2.74629,2.74629,7475,0,0,0,10,1.0,1.0,8300.85,2501.0,72.94559014
2017-01-01 14:00:00,1/1/17 15:00,0.76163,4060.574644,406.05746439999996,4060.574644,0.01,8.15473,8.15473,8.15473,7475,0,0,0,10,1.0,1.0,8300.85,2501.0,81.21149288
2017-01-01 15:00:00,1/1/17 16:00,0.5250600000000001,3672.2336990000003,367.22336989999997,3672.2336990000003,0.01,27.414890000000003,27.414890000000003,27.414890000000003,7475,0,0,0,10,2000.0,-0.0,10000.0,2500.0,73.44467398
2017-01-01 16:00:00,1/1/17 17:00,0.210031,4710.773492,471.07734919999996,4710.773492,0.01,36.04143,36.04143,36.04143,7475,0,0,0,10,2000.0,-0.0,10000.0,2500.0,94.21546984
2017-01-01 17:00:00,1/1/17 18:00,0.0,4888.333553,488.83335530000005,4888.333553,0.01,50.59049,50.59049,50.59049,7475,0,0,0,0,2000.0,-2000.0,10000.0,500.0,97.76667106
2017-01-01 18:00:00,1/1/17 19:00,0.0,5180.458057,518.0458057,5180.458057,0.01,51.07051,51.07051,51.07051,7475,0,0,0,0,2000.0,-2000.0,10000.0,500.0,103.6091611
2017-01-01 19:00:00,1/1/17 20:00,0.0,4584.224275,458.4224275,4584.224275,0.01,45.38316,45.38316,45.38316,7475,0,0,0,0,2000.0,-1500.0,10000.0,1000.0,91.6844855
2017-01-01 20:00:00,1/1/17 21:00,0.0,4890.245882,489.02458820000004,4890.245882,0.01,40.96986,40.96986,40.96986,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,97.80491764
2017-01-01 21:00:00,1/1/17 22:00,0.0,4297.806113000001,429.7806113,4297.806113000001,0.01,43.56135,43.56135,43.56135,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,85.95612226
2017-01-01 22:00:00,1/1/17 23:00,0.0,4356.664511999999,435.6664512,4356.664511999999,0.01,37.55981,37.55981,37.55981,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,87.13329024
2017-01-01 23:00:00,1/2/17 0:00,0.0,3781.996185,378.1996185,3781.996185,0.01,34.47645,34.47645,34.47645,7475,0,0,0,0,1412.7647058823534,0.4249999999999545,9500.85,2500.425,75.63992370000001
2017-01-02 00:00:00,1/2/17 1:00,0.0,4460.599365,446.05993650000005,4460.599365,0.01,31.142840000000003,31.142840000000003,31.142840000000003,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,89.2119873
2017-01-02 01:00:00,1/2/17 2:00,0.0,4140.337189,414.0337189,4140.337189,0.01,30.46592,30.46592,30.46592,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,82.80674378
2017-01-02 02:00:00,1/2/17 3:00,0.0,4441.120561,444.1120561000001,4441.120561,0.01,28.945140000000002,28.945140000000002,28.945140000000002,7475,0,0,0,0,1.0,1.0,8300.85,2501.0,88.82241122
2017-01-02 03:00:00,1/2/17 4:00,0.0,4124.243146,412.4243146,4124.243146,0.01,28.25863,28.25863,28.25863,7475,0,0,0,0,1.0,1.0,8300.85,2501.0,82.48486292
2017-01-02 04:00:00,1/2/17 5:00,0.0,4542.13495,454.213495,4542.13495,0.01,29.50415,29.50415,29.50415,7475,0,0,0,0,1765.7058823529417,1.0,9800.85,2501.0,90.842699
2017-01-02 05:00:00,1/2/17 6:00,0.0,4725.139159,472.5139159,4725.139159,0.01,32.90695,32.90695,32.90695,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,94.50278318
2017-01-02 06:00:00,1/2/17 7:00,0.0,6870.1202920000005,687.0120292,6870.1202920000005,0.01,34.38349,34.38349,34.38349,7475,0,0,0,0,2000.0,-0.0,10000.0,2500.0,137.40240580000003
2017-01-02 07:00:00,1/2/17 8:00,0.077027,5235.845867,523.5845866999999,5235.845867,0.01,35.51462,35.51462,35.51462,7475,0,0,0,10,2000.0,-0.0,10000.0,2500.0,104.71691729999999
2017-01-02 08:00:00,1/2/17 9:00,0.4210115,10537.250540000001,1053.725054,10537.250540000001,0.01,36.067859999999996,36.067859999999996,36.067859999999996,7475,0,0,0,10,2000.0,-2000.0,10000.0,500.0,210.7450108
2017-01-02 09:00:00,1/2/17 10:00,0.69586,10160.55551,1016.0555509999999,10160.55551,0.01,33.04214,33.04214,33.04214,7475,0,0,0,10,2000.0,-0.0,10000.0,2500.0,203.2111102
2017-01-02 10:00:00,1/2/17 11:00,0.87098,9652.977456999999,965.2977457000001,9652.977456999999,0.01,30.665259999999996,30.665259999999996,30.665259999999996,7475,0,0,0,10,2000.0,-0.0,10000.0,2500.0,193.0595491
2017-01-02 11:00:00,1/2/17 12:00,0.9628700000000001,9649.857414,964.9857413999999,9649.857414,0.01,30.52396,30.52396,30.52396,7475,0,0,0,10,2000.0,-0.0,10000.0,2500.0,192.9971483
