Datetime (he),PV Gen (kW/rated kW),System Load (kW),Site Load (kW),Deferral Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW)_1,NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),Power Max (kW),Power Min (kW),Energy Max (kWh),Energy Min (kWh),Critical Load (kW)
1/1/19 1:00,0,4019.608554,401.9608554,4019.608554,1.6e-4,0.018990535,NA,NA,7475,0,0,0,0,1900,-1900,9000,0,80.39217108
1/1/19 2:00,0,3738.652086,373.8652086,3738.652086,6.475e-4,0.018766137,NA,NA,7475,0,0,0,0,1900,-1900,9000,0,74.77304172
1/1/19 3:00,0,4054.570141,405.4570141,4054.570141,2.6e-4,0.01852799,NA,NA,7475,0,0,0,0,1900,-1900,9000,0,81.09140282
1/1/19 4:00,0,3703.137769,370.3137769,3703.137769,0.0012725,0.018365254,NA,NA,7475,0,0,0,0,1900,-1900,9000,0,74.06275538
1/1/19 5:00,0,4141.420555,414.1420555,4141.420555,0.0037825,0.018535374,NA,NA,7475,0,0,0,0,1900,-1900,9000,0,82.8284111
1/1/19 6:00,0,4050.901661,405.0901661,4050.901661,0.0033,0.018700615,NA,NA,7475,0,0,0,0,1900,-1900,9000,0,81.01803322
1/1/19 7:00,0,4850.896901,485.0896901,4850.896901,0.001325,0.019305736,NA,NA,7475,0,0,0,0,1900,-1900,9000,0,97.01793802
1/1/19 8:00,0.078231,4429.817908,442.9817908,4429.817908,0.0032675,0.020364944,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,88.59635816
1/1/19 9:00,0.415964,4572.633046,457.2633046,4572.633046,0.0010525,0.021135015,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,91.45266092
1/1/19 10:00,0.69657,3900.506753,390.0506753,3900.506753,4.5e-4,0.021477902,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,78.01013506
1/1/19 11:00,0.880665,3787.672133,378.7672133,3787.672133,4.625e-4,0.022538783,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,75.75344266
1/1/19 12:00,0.979825,3506.213565,350.6213565,3506.213565,6.025e-4,0.022233284,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,70.1242713
1/1/19 13:00,0.994815,3934.668053,393.4668053,3934.668053,8.2e-4,0.022266994,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,78.69336106
1/1/19 14:00,0.76356,3647.279507,364.7279507,3647.279507,8.4e-4,0.021951721,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,72.94559014
1/1/19 15:00,0.76163,4060.574644,406.0574644,4060.574644,0.0031775,0.021774561,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,81.21149288
1/1/19 16:00,0.52506,3672.233699,367.2233699,3672.233699,8.675e-4,0.022250908,NA,NA,7475,0,0,0,10,1900,-1900,9000,0,73.44467398
