,Datetime (he),PV Gen (kW/rated kW),System Load (kW),Site Load (kW),Deferral Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW).1,NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),Power Max (kW),Power Min (kW),Energy Max (kWh),Energy Min (kWh),Critical Load (kW)
2017-01-01 00:00:00,1/1/17 1:00,0.0,4019.608554,401.96085539999996,4019.608554,0.01,0.032141,0.032141,0.032141,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,80.39217108
2017-01-01 01:00:00,1/1/17 2:00,0.0,3738.652086,373.8652086,3738.652086,0.01,0.03209331,0.03209331,0.03209331,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,74.77304172
2017-01-01 02:00:00,1/1/17 3:00,0.0,4054.5701409999997,405.45701410000004,4054.5701409999997,0.01,0.03175182,0.03175182,0.03175182,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,81.09140282
2017-01-01 03:00:00,1/1/17 4:00,0.0,3703.137769,370.3137769,3703.137769,0.01,0.03165485,0.03165485,0.03165485,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,74.06275538
2017-01-01 04:00:00,1/1/17 5:00,0.0,4141.420555,414.1420555,4141.420555,0.01,0.03078625,0.03078625,0.03078625,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,82.8284111
2017-01-01 05:00:00,1/1/17 6:00,0.0,4050.901661,405.09016610000003,4050.901661,0.01,0.032639999999999995,0.032639999999999995,0.032639999999999995,7475,9e-05,0.00062532,0,0,2000.0,-2000.0,10000.0,500.0,81.01803322
2017-01-01 06:00:00,1/1/17 7:00,0.0,4850.896901,485.08969010000004,4850.896901,0.01,0.03463289,0.03463289,0.03463289,7475,9e-05,0.00349653,0,0,2000.0,-2000.0,10000.0,500.0,97.01793802
2017-01-01 07:00:00,1/1/17 8:00,0.078231,4429.817908,442.9817908,4429.817908,0.01,0.03495474,0.03495474,0.03495474,7475,9e-05,0.00374636,0,10,2000.0,-2000.0,10000.0,500.0,88.59635816
2017-01-01 08:00:00,1/1/17 9:00,0.41596400000000006,4572.633046,457.2633046,4572.633046,0.01,0.02970845,0.02970845,0.02970845,7475,9e-05,9e-05,0,10,2000.0,-2000.0,10000.0,500.0,91.45266092
2017-01-01 09:00:00,1/1/17 10:00,0.69657,3900.506753,390.0506753,3900.506753,0.01,0.01709308,0.01709308,0.01709308,7475,9e-05,9e-05,0,10,2000.0,-2000.0,10000.0,500.0,78.01013506
2017-01-01 10:00:00,1/1/17 11:00,0.8806649999999999,3787.672133,378.7672133,3787.672133,0.01,0.00923,0.00923,0.00923,7475,9e-05,9e-05,0,10,2000.0,-2000.0,10000.0,500.0,75.75344266
2017-01-01 11:00:00,1/1/17 12:00,0.979825,3506.213565,350.6213565,3506.213565,0.01,0.0047799999999999995,0.0047799999999999995,0.0047799999999999995,7475,9e-05,9e-05,0,10,2000.0,-2000.0,10000.0,500.0,70.1242713
2017-01-01 12:00:00,1/1/17 13:00,0.994815,3934.6680530000003,393.46680530000003,3934.6680530000003,0.01,0.0030651,0.0030651,0.0030651,7475,9e-05,9e-05,0,10,2000.0,-2000.0,10000.0,500.0,78.69336106
2017-01-01 13:00:00,1/1/17 14:00,0.76356,3647.279507,364.72795069999995,3647.279507,0.01,0.00274629,0.00274629,0.00274629,7475,9e-05,9e-05,0,10,2000.0,-2000.0,10000.0,500.0,72.94559014
2017-01-01 14:00:00,1/1/17 15:00,0.76163,4060.574644,406.05746439999996,4060.574644,0.01,0.00815473,0.00815473,0.00815473,7475,9e-05,9e-05,0,10,1.0,-1.0,8300.0,2500.0,81.21149288
2017-01-01 15:00:00,1/1/17 16:00,0.5250600000000001,3672.2336990000003,367.22336989999997,3672.2336990000003,0.01,0.02741489,0.02741489,0.02741489,7475,9e-05,9e-05,0,10,1.0,-1.0,8300.0,2500.0,73.44467398
2017-01-01 16:00:00,1/1/17 17:00,0.210031,4710.773492,471.07734919999996,4710.773492,0.01,0.03604143,0.03604143,0.03604143,7475,9e-05,0.004,0,10,1.0,-1.0,8300.0,2500.0,94.21546984
2017-01-01 17:00:00,1/1/17 18:00,0.0,4888.333553,488.83335530000005,4888.333553,0.01,0.05059049,0.05059049,0.05059049,7475,9e-05,0.00924346,0,0,1.0,-1.0,8300.0,2500.0,97.76667106
2017-01-01 18:00:00,1/1/17 19:00,0.0,5180.458057,518.0458057,5180.458057,0.01,0.05107051,0.05107051,0.05107051,7475,9e-05,0.00958879,0,0,1.0,-1.0,8300.0,2500.0,103.6091611
2017-01-01 19:00:00,1/1/17 20:00,0.0,4584.224275,458.4224275,4584.224275,0.01,0.04538316,0.04538316,0.04538316,7475,9e-05,0.00680656,0,0,1.0,-1.0,8300.0,2500.0,91.6844855
2017-01-01 20:00:00,1/1/17 21:00,0.0,4890.245882,489.02458820000004,4890.245882,0.01,0.04096986,0.04096986,0.04096986,7475,9e-05,0.00496263,0,0,1.0,-1.0,8300.0,2500.0,97.80491764
2017-01-01 21:00:00,1/1/17 22:00,0.0,4297.806113000001,429.7806113,4297.806113000001,0.01,0.04356135,0.04356135,0.04356135,7475,9e-05,0.00569794,0,0,2000.0,-2000.0,10000.0,500.0,85.95612226
2017-01-01 22:00:00,1/1/17 23:00,0.0,4356.664511999999,435.6664512,4356.664511999999,0.01,0.03755981,0.03755981,0.03755981,7475,9e-05,0.005,0,0,2000.0,-2000.0,10000.0,500.0,87.13329024
2017-01-01 23:00:00,1/2/17 0:00,0.0,3781.996185,378.1996185,3781.996185,0.01,0.03447645,0.03447645,0.03447645,7475,9e-05,0.003,0,0,2000.0,-2000.0,10000.0,500.0,75.63992370000001
2017-01-02 00:00:00,1/2/17 1:00,0.0,4460.599365,446.05993650000005,4460.599365,0.01,0.03114284,0.03114284,0.03114284,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,89.2119873
2017-01-02 01:00:00,1/2/17 2:00,0.0,4140.337189,414.0337189,4140.337189,0.01,0.03046592,0.03046592,0.03046592,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,82.80674378
2017-01-02 02:00:00,1/2/17 3:00,0.0,4441.120561,444.1120561000001,4441.120561,0.01,0.02894514,0.02894514,0.02894514,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,88.82241122
2017-01-02 03:00:00,1/2/17 4:00,0.0,4124.243146,412.4243146,4124.243146,0.01,0.02825863,0.02825863,0.02825863,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,82.48486292
2017-01-02 04:00:00,1/2/17 5:00,0.0,4542.13495,454.213495,4542.13495,0.01,0.02950415,0.02950415,0.02950415,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,90.842699
2017-01-02 05:00:00,1/2/17 6:00,0.0,4725.139159,472.5139159,4725.139159,0.01,0.03290695,0.03290695,0.03290695,7475,9e-05,0.00149807,0,0,2000.0,-2000.0,10000.0,500.0,94.50278318
2017-01-02 06:00:00,1/2/17 7:00,0.0,6870.1202920000005,687.0120292,6870.1202920000005,0.01,0.03438349,0.03438349,0.03438349,7475,9e-05,0.00289583,0,0,2000.0,-2000.0,10000.0,500.0,137.40240580000003
2017-01-02 07:00:00,1/2/17 8:00,0.077027,5235.845867,523.5845866999999,5235.845867,0.01,0.03551462,0.03551462,0.03551462,7475,9e-05,0.005,0,10,2000.0,-2000.0,10000.0,500.0,104.71691729999999
2017-01-02 08:00:00,1/2/17 9:00,0.4210115,10537.250540000001,1053.725054,10537.250540000001,0.01,0.03606786,0.03606786,0.03606786,7475,9e-05,0.005,0,10,2000.0,-2000.0,10000.0,500.0,210.7450108
2017-01-02 09:00:00,1/2/17 10:00,0.69586,10160.55551,1016.0555509999999,10160.55551,0.01,0.03304214,0.03304214,0.03304214,7475,9e-05,0.005,0,10,2000.0,-2000.0,10000.0,500.0,203.2111102
2017-01-02 10:00:00,1/2/17 11:00,0.87098,9652.977456999999,965.2977457000001,9652.977456999999,0.01,0.03066526,0.03066526,0.03066526,7475,9e-05,0.00224417,0,10,2000.0,-2000.0,10000.0,500.0,193.0595491
2017-01-02 11:00:00,1/2/17 12:00,0.9628700000000001,9649.857414,964.9857413999999,9649.857414,0.01,0.03052396,0.03052396,0.03052396,7475,9e-05,0.00333944,0,10,2000.0,-2000.0,10000.0,500.0,192.9971483
2017-01-02 12:00:00,1/2/17 13:00,0.973835,9156.603572,915.6603572,9156.603572,0.01,0.0266848,0.0266848,0.0266848,7475,9e-05,9e-05,0,10,2000.0,-2000.0,10000.0,500.0,183.13207140000003
2017-01-02 13:00:00,1/2/17 14:00,0.91635,9653.800974,965.3800974,9653.800974,0.01,0.02751277,0.02751277,0.02751277,7475,9e-05,0.0025,0,10,2000.0,-2000.0,10000.0,500.0,193.0760195
2017-01-02 14:00:00,1/2/17 15:00,0.7645,9644.672324,964.4672324,9644.672324,0.01,0.03049402,0.03049402,0.03049402,7475,9e-05,0.002,0,10,1.0,-1.0,8300.0,2500.0,192.8934465
2017-01-02 15:00:00,1/2/17 16:00,0.531875,9634.341,963.4341,9634.341,0.01,0.035,0.035,0.035,7475,9e-05,0.00359946,0,10,1.0,-1.0,8300.0,2500.0,192.68681999999998
2017-01-02 16:00:00,1/2/17 17:00,0.21849200000000002,10380.25356,1038.025356,10380.25356,0.01,0.04119692,0.04119692,0.04119692,7475,9e-05,0.00702628,0,10,1.0,-1.0,8300.0,2500.0,207.60507119999997
2017-01-02 17:00:00,1/2/17 18:00,0.0,9509.287645999999,950.9287646,9509.287645999999,0.01,0.05394316,0.05394316,0.05394316,7475,9e-05,0.00906486,0,0,1.0,-1.0,8300.0,2500.0,190.1857529
2017-01-02 18:00:00,1/2/17 19:00,0.0,7516.196098,751.6196097999999,7516.196098,0.01,0.0562427,0.0562427,0.0562427,7475,9e-05,0.01442461,0,0,1.0,-1.0,8300.0,2500.0,150.323922
2017-01-02 19:00:00,1/2/17 20:00,0.0,7271.314743999999,727.1314744,7271.314743999999,0.01,0.05282185,0.05282185,0.05282185,7475,9e-05,0.01113636,0,0,1.0,-1.0,8300.0,2500.0,145.42629490000002
2017-01-02 20:00:00,1/2/17 21:00,0.0,5777.0473329999995,577.7047332999999,5777.0473329999995,0.01,0.04739492,0.04739492,0.04739492,7475,9e-05,0.00667033,0,0,1.0,-1.0,8300.0,2500.0,115.54094669999999
2017-01-02 21:00:00,1/2/17 22:00,0.0,5532.016061,553.2016061,5532.016061,0.01,0.044372,0.044372,0.044372,7475,9e-05,0.00868904,0,0,2000.0,-2000.0,10000.0,500.0,110.6403212
2017-01-02 22:00:00,1/2/17 23:00,0.0,3493.568794,349.35687939999997,3493.568794,0.01,0.0376714,0.0376714,0.0376714,7475,9e-05,0.00423635,0,0,2000.0,-2000.0,10000.0,500.0,69.87137588
2017-01-02 23:00:00,1/3/17 0:00,0.0,2999.9212039999998,299.9921204,2999.9212039999998,0.01,0.03579555,0.03579555,0.03579555,7475,9e-05,0.004,0,0,2000.0,-2000.0,10000.0,500.0,59.99842408
2017-01-03 00:00:00,1/3/17 1:00,0.0,2877.699243,287.7699243,2877.699243,0.01,0.03248679,0.03248679,0.03248679,7475,9e-05,0.00054748,0,0,2000.0,-2000.0,10000.0,500.0,57.55398486
2017-01-03 01:00:00,1/3/17 2:00,0.0,2877.699242,287.7699242,2877.699242,0.01,0.03073023,0.03073023,0.03073023,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,57.55398484
2017-01-03 02:00:00,1/3/17 3:00,0.0,2877.699241,287.7699241,2877.699241,0.01,0.03016759,0.03016759,0.03016759,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,57.55398482
2017-01-03 03:00:00,1/3/17 4:00,0.0,3296.18823,329.618823,3296.18823,0.01,0.029510400000000003,0.029510400000000003,0.029510400000000003,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,65.92376460000001
2017-01-03 04:00:00,1/3/17 5:00,0.0,3317.411861,331.7411861,3317.411861,0.01,0.03043013,0.03043013,0.03043013,7475,9e-05,9e-05,0,0,2000.0,-2000.0,10000.0,500.0,66.34823722
