Datetime (he),PV Gen (kW/rated kW),System Load (kW),Site Load (kW),Deferral Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW),NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),Power Max (kW),Power Min (kW),Energy Max (kWh),Energy Min (kWh),Critical Load (kW)
1/1/17 1:00,0,4019.608554,401.9608554,4019.608554,0.01,32.141,32.141,32.141,7475,0.00009,0.00009,0,0,2000,-2000,10000,500,80.39217108
1/1/17 2:00,0,3738.652086,373.8652086,3738.652086,0.01,32.09331,32.09331,32.09331,7475,0.00009,0.00009,0,0,2000,-2000,10000,500,74.77304172
1/1/17 3:00,0,4054.570141,405.4570141,4054.570141,0.01,31.75182,31.75182,31.75182,7475,0.00009,0.00009,0,0,2000,-2000,10000,500,81.09140282
1/1/17 4:00,0,3703.137769,370.3137769,3703.137769,0.01,31.65485,31.65485,31.65485,7475,0.00009,0.00009,0,0,2000,-2000,10000,500,74.06275538
1/1/17 5:00,0,4141.420555,414.1420555,4141.420555,0.01,30.78625,30.78625,30.78625,7475,0.00009,0.00009,0,0,2000,-2000,10000,500,82.8284111
1/1/17 6:00,0,4050.901661,405.0901661,4050.901661,0.01,32.64,32.64,32.64,7475,0.00009,0.00062532,0,0,2000,-2000,10000,500,81.01803322
1/1/17 7:00,0,4850.896901,485.0896901,4850.896901,0.01,34.63289,34.63289,34.63289,7475,0.00009,0.00349653,0,0,2000,-2000,10000,500,97.01793802
1/1/17 8:00,0.078231,4429.817908,442.9817908,4429.817908,0.01,34.95474,34.95474,34.95474,7475,0.00009,0.00374636,0,10,2000,-2000,10000,500,88.59635816
1/1/17 9:00,0.415964,4572.633046,457.2633046,4572.633046,0.01,29.70845,29.70845,29.70845,7475,0.00009,0.00009,0,10,2000,-2000,10000,500,91.45266092
1/1/17 10:00,0.69657,3900.506753,390.0506753,3900.506753,0.01,17.09308,17.09308,17.09308,7475,0.00009,0.00009,0,10,2000,-2000,10000,500,78.01013506
1/1/17 11:00,0.880665,3787.672133,378.7672133,3787.672133,0.01,9.23,9.23,9.23,7475,0.00009,0.00009,0,10,2000,-2000,10000,500,75.75344266
1/1/17 12:00,0.979825,3506.213565,350.6213565,3506.213565,0.01,4.78,4.78,4.78,7475,0.00009,0.00009,0,10,2000,-2000,10000,500,70.1242713
1/1/17 13:00,0.994815,3934.668053,393.4668053,3934.668053,0.01,3.0651,3.0651,3.0651,7475,0.00009,0.00009,0,10,2000,-2000,10000,500,78.69336106
1/1/17 14:00,0.76356,3647.279507,364.7279507,3647.279507,0.01,2.74629,2.74629,2.74629,7475,0.00009,0.00009,0,10,2000,-2000,10000,500,72.94559014
1/1/17 15:00,0.76163,4060.574644,406.0574644,4060.574644,0.01,8.15473,8.15473,8.15473,7475,0.00009,0.00009,0,10,2000,-2000,10000,500,81.21149288
1/1/17 16:00,0.52506,3672.233699,367.2233699,3672.233699,0.01,27.41489,27.41489,27.41489,7475,0.00009,0.00009,0,10,2000,-2000,10000,2500,73.44467398
1/1/17 17:00,0.210031,4710.773492,471.0773492,4710.773492,0.01,36.04143,36.04143,36.04143,7475,0.00009,0.004,0,10,2000,-2000,10000,2500,94.21546984
